date,ville,latitude,longitude,descr_cat_veh,descr_agglo,descr_athmo,descr_lum,descr_etat_surf,age,place,descr_dispo_secu,descr_grav
683,3953,47.4,-0.55,0,1,0,3,8,61,0,14,2
1609,1059,47.65,-0.433333,0,1,7,4,6,21,0,14,2
4157,3786,47.1333,-0.15,2,1,3,4,7,35,0,11,2
2695,5451,47.2667,-0.083333,0,1,3,3,7,77,1,14,2
2695,5451,47.2667,-0.083333,0,1,3,3,7,79,0,14,2
2695,5451,47.2667,-0.083333,0,1,3,3,7,47,1,14,2
2695,5451,47.2667,-0.083333,0,1,3,3,7,8,2,14,2
2695,5451,47.2667,-0.083333,0,1,3,3,7,6,3,14,2
1535,3121,43.8167,4.46667,6,1,3,4,7,74,0,11,2
1751,6398,44.1667,4.08333,0,1,3,4,7,39,0,14,2
166,5786,44.2333,4.45,0,1,3,3,7,55,0,14,2
550,2361,43.8,4.25,1,1,3,0,7,68,0,14,2
4120,2763,44.0167,4.05,0,1,3,3,7,26,0,14,2
4120,2763,44.0167,4.05,0,1,3,3,7,21,0,14,2
731,5144,43.3,6.08333,0,1,3,4,6,84,0,14,2
2196,7019,45.6333,-0.65,0,1,3,3,7,65,0,14,2
1987,2504,45.7333,-0.95,0,1,3,4,7,78,0,14,2
3812,3861,44.2,3.18333,0,1,6,4,6,40,0,14,2
2191,7907,46.5833,0.266667,0,1,3,3,7,54,0,14,2
3706,3199,47.2833,1.33333,2,1,3,4,7,23,0,11,2
1058,7402,44.8333,0.666667,0,1,3,4,7,49,0,14,2
1214,5809,45.1453,0.528056,0,1,3,4,7,16,0,7,2
3533,1748,47.5667,7.25,0,1,3,4,0,24,0,14,2
2539,5289,47.85,7.51667,0,1,0,0,8,42,0,14,2
2539,5289,47.85,7.51667,0,1,0,0,8,23,0,14,2
2310,2898,49.4333,5.6,0,1,3,3,6,34,0,7,2
2310,2898,49.4333,5.6,0,1,3,3,6,22,0,14,2
2686,7392,48.65,6.18333,0,1,6,0,6,50,0,14,2
3886,6485,48.6333,6.3,2,1,3,4,6,22,0,11,2
4075,679,49.4833,5.75,0,1,6,4,6,52,0,14,2
4075,679,49.4833,5.75,0,1,6,4,6,23,0,14,2
3434,5145,45.2167,3.93333,0,1,1,4,6,72,0,14,2
509,7768,49.1667,4.01667,0,1,6,3,6,26,0,14,2
1652,7829,49.0167,3.9,2,1,6,3,6,23,0,11,2
2352,68,48.7667,0.816667,0,1,2,4,3,44,0,14,2
3192,4162,46.2167,-0.933333,0,1,3,3,7,28,0,14,2
4085,803,46.1833,-1.06667,2,1,3,4,7,24,0,11,2
550,5038,46.1333,6.26667,0,1,3,0,7,51,0,14,2
5018,3638,46.6167,0.433333,0,1,3,3,7,36,0,14,2
2676,6578,45.1333,0.85,2,1,5,4,2,50,0,11,2
2465,4875,44.85,0.4,0,1,5,3,6,44,0,14,2
3161,1731,45.25,1.15,0,1,3,4,7,56,0,14,2
1001,7344,48.6167,4.9,0,1,3,4,7,34,0,14,2
2286,119,50.0667,2.05,0,1,3,4,7,67,0,14,2
2286,119,50.0667,2.05,0,1,3,4,7,47,0,14,2
3067,3232,46.0667,6.53333,0,1,2,4,3,66,0,14,2
2966,4700,48.0667,4.46667,0,1,3,3,7,81,0,14,2
4182,2293,43.9,2.0,2,1,3,4,7,41,0,11,2
2509,4971,43.8333,1.75,0,1,3,4,7,74,0,14,2
5339,6837,43.9667,2.06667,0,1,3,4,7,55,0,14,2
3792,7430,49.0833,4.21667,0,1,3,3,6,56,0,14,2
3792,7430,49.0833,4.21667,0,1,3,3,6,19,1,14,2
3792,7430,49.0833,4.21667,0,1,3,3,6,18,4,14,2
2847,254,48.9583,4.36667,0,1,3,0,7,45,0,14,2
2767,7544,46.6333,-0.516667,0,1,6,3,6,44,0,14,2
2767,7544,46.6333,-0.516667,0,1,6,3,6,28,0,14,2
6225,65,49.3864,1.30695,1,1,5,4,6,42,0,14,2
390,7341,47.4167,4.9,0,1,0,0,8,52,0,14,2
1834,6491,47.1167,5.05,0,1,0,4,0,42,0,14,2
939,1105,47.25,5.15,0,1,5,3,6,60,0,14,2
1044,4733,47.4667,4.36667,0,1,0,0,8,20,0,14,2
1044,4733,47.4667,4.36667,0,1,0,0,8,29,0,14,2
1922,3955,43.6167,3.73333,0,1,3,3,7,50,0,8,2
1648,7604,43.4833,3.8,0,1,3,3,7,39,0,14,2
1392,6195,43.75,3.83333,0,1,3,4,7,35,0,14,2
2014,5601,43.4167,3.3,0,1,3,3,7,39,0,8,2
1281,4214,43.2667,2.73333,0,1,3,4,7,54,0,14,2
1109,2036,43.6667,1.48333,2,1,3,1,7,26,0,11,2
337,2454,43.6333,1.6,0,1,6,4,7,60,0,14,2
1859,4968,43.5848,1.52611,2,1,5,3,6,39,0,11,2
1419,7141,43.6,1.43333,0,1,3,1,7,27,0,14,2
2173,2234,47.6833,-2.55,2,1,3,0,7,26,0,11,2
1805,5286,47.8167,-2.28333,0,1,0,4,8,21,0,14,2
603,1251,48.0,-2.58333,0,1,3,3,7,35,0,14,2
409,7033,47.6333,-2.66667,0,1,6,4,8,72,0,14,2
